,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Ticker
0,17.0,503.0,507.0,244.2117606124878,233.1444560397131,-188.14417773716994,-0.045318475019457294,2025-01-03,2025-01-10,7 days,AAPL
0,8.0,503.0,509.0,171.99989387512207,165.36471415928432,-53.081437726702006,-0.03857665005686062,2025-01-03,2025-01-14,11 days,BA
0,15.0,503.0,535.0,193.39954362487794,187.2899932861328,-91.64325508117685,-0.031590303804415076,2025-01-03,2025-02-21,49 days,GOOG
0,26.0,503.0,535.0,382.8151910247803,353.44000244140625,-763.754903167725,-0.0767346470884237,2025-01-03,2025-02-21,49 days,TSLA
0,11.0,503.0,535.0,111.75979775619507,111.0,-8.35777531814577,-0.006798489004539721,2025-01-03,2025-02-21,49 days,DIS
0,106.0,504.0,535.0,45.31805984687806,45.25,-7.214343769074077,-0.0015018261396895216,2025-01-06,2025-02-21,46 days,BAC
0,4.0,514.0,533.0,419.0114127502442,397.2200012207031,-87.1656461181642,-0.052006725512581786,2025-01-22,2025-02-19,28 days,HD
0,5.0,516.0,520.0,407.1500660247803,373.5,-168.2503301239015,-0.08264782160868489,2025-01-24,2025-01-30,6 days,CAT
0,19.0,516.0,535.0,264.61291744995117,268.32000732421875,70.43470761108404,0.0140094818877039,2025-01-24,2025-02-21,28 days,JPM
0,12.0,519.0,535.0,103.05944693756103,113.33000183105469,123.24665872192384,0.09965660789656772,2025-01-29,2025-02-21,23 days,SBUX
0,5.0,524.0,535.0,1023.57,1034.6099853515625,55.19992675781225,0.010785764873494141,2025-02-05,2025-02-21,16 days,COST
0,35.0,525.0,534.0,102.88885377502442,98.41139586550703,-156.7110268331084,-0.04351742433935302,2025-02-06,2025-02-20,14 days,WMT
1,8.0,527.0,535.0,183.76091510009766,181.27999877929688,-19.8473305664063,-0.01350078344706429,2025-02-10,2025-02-21,11 days,BA
