,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Ticker
0,43.0,506.0,508.0,183.26920989990236,171.99520926701672,-484.78202721408275,-0.06151606502283313,2022-01-04,2022-01-06,2 days,AAPL
0,12.0,506.0,509.0,566.2047854003906,536.9498027732692,-351.05979152545706,-0.05166855417238092,2022-01-04,2022-01-07,3 days,COST
1,43.0,509.0,519.0,173.49511438751222,160.02000427246094,-579.429734947205,-0.07766852780046463,2022-01-07,2022-01-24,17 days,AAPL
1,12.0,510.0,514.0,531.1424929504395,506.35082529069837,-297.500011916894,-0.046676114204356134,2022-01-10,2022-01-14,4 days,COST
2,13.0,515.0,517.0,496.19060142517094,484.8911529541016,-146.8928301239016,-0.022772395201792972,2022-01-18,2022-01-20,2 days,COST
2,43.0,520.0,553.0,159.53642571258547,151.4499969482422,-347.7164368667611,-0.05068703732219415,2022-01-25,2022-03-14,48 days,AAPL
3,12.0,525.0,541.0,506.76750000000004,483.2699890136719,-281.970131835938,-0.046367438689987384,2022-02-01,2022-02-24,23 days,COST
3,41.0,556.0,583.0,159.1651356124878,156.7500001695421,-99.02055316077417,-0.015173771778926093,2022-03-17,2022-04-26,40 days,AAPL
0,41.0,559.0,583.0,311.08500000000004,301.2203325271606,-404.451366386416,-0.03171052115286632,2022-03-22,2022-04-26,35 days,TSLA
4,10.0,569.0,586.0,574.594091949463,544.0126355723687,-305.8145637709424,-0.05322271287777869,2022-04-05,2022-04-29,24 days,COST
5,10.0,590.0,590.0,543.4655023498535,536.4722301776593,-69.93272172194224,-0.012867922880029137,2022-05-05,2022-05-05,0 days,COST
6,10.0,644.0,645.0,533.2799528503418,513.375768338717,-199.04184511624862,-0.037324081667121534,2022-07-25,2022-07-26,1 days,COST
7,10.0,647.0,674.0,522.1010093994141,520.1599731445312,-19.410362548828743,-0.003717740858451335,2022-07-28,2022-09-06,40 days,COST
4,38.0,656.0,669.0,168.2668726501465,160.5711669921875,-292.43681500244185,-0.04573512026909532,2022-08-10,2022-08-29,19 days,AAPL
0,44.0,658.0,674.0,87.61558255004883,82.19255272645619,-238.61331223807628,-0.06189572294968004,2022-08-12,2022-09-06,25 days,SBUX
0,25.0,725.0,755.0,174.7193856124878,187.5,319.515359687805,0.07314937803100152,2022-11-16,2022-12-30,44 days,BA
1,37.0,734.0,755.0,99.39667806243897,99.19000244140625,-7.646997978210479,-0.0020793010899508024,2022-11-30,2022-12-30,30 days,SBUX
