,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Ticker
0,1046,505,508,0.5050113778710366,0.48399999737739563,-21.977903996348413,-0.04160575665090571,2015-01-05,2015-01-08,3 days,NVDA
1,102,505,650,27.167253979682926,30.375,327.1900940723416,0.1180739879973145,2015-01-05,2015-08-03,210 days,AAPL
2,35,505,755,40.2102446937561,60.650001525878906,715.3914891242981,0.5083221200913686,2015-01-05,2015-12-31,360 days,SBUX
3,12,508,517,146.06945755004884,139.5,-78.83349060058606,-0.044974888386902445,2015-01-08,2015-01-22,14 days,COST
4,1012,509,524,0.49999388265609745,0.4830000102519989,-17.197798872947736,-0.03398816064273169,2015-01-09,2015-02-02,24 days,NVDA
5,118,519,755,62.79043021202088,116.20999908447266,6303.50912694931,0.8507597207420454,2015-01-26,2015-12-31,339 days,NFLX
6,31,524,755,17.56375928592682,34.30400085449219,518.9474886255264,0.9531126734342512,2015-02-02,2015-12-31,332 days,AMZN
7,6,525,627,146.88229010009766,140.05999755859375,-40.93375524902348,-0.04644734594520983,2015-02-03,2015-06-30,147 days,BA
8,11,527,596,150.02325000000002,143.22000122070312,-74.83573657226583,-0.04534796292772547,2015-02-05,2015-05-15,99 days,COST
9,29,528,548,3.211200047850609,2.9200000762939453,-8.444799175143249,-0.0906826006531658,2015-02-06,2015-03-09,31 days,AMD
10,870,536,592,0.5619600023925305,0.5134999752044678,-42.160223653614594,-0.08623394366457648,2015-02-19,2015-05-11,81 days,NVDA
11,28,549,553,2.9803950287103653,2.75,-6.451060803890229,-0.07730352067123758,2015-03-10,2015-03-16,6 days,AMD
12,28,558,561,2.8198349425792695,2.5899999141693115,-6.435380795478823,-0.08150655378421923,2015-03-23,2015-03-26,3 days,AMD
13,11,561,589,83.00952122497559,77.97000122070312,-55.43472004699707,-0.06071014420880905,2015-03-26,2015-05-06,41 days,META
14,141,591,666,15.787731303691865,15.368000030517578,-59.1821095175745,-0.026585914410396372,2015-05-08,2015-08-25,109 days,TSLA
15,10,626,666,86.91313561248779,86.94999694824219,0.36861335754394986,0.00042411697029032247,2015-06-29,2015-08-25,57 days,META
16,760,656,665,0.587800108730793,0.5067499876022339,-61.598092057704946,-0.1378872169717127,2015-08-11,2015-08-24,13 days,NVDA
17,696,668,672,0.5529284990429879,0.5537499785423279,0.5717497315406206,0.0014856884764700151,2015-08-27,2015-09-02,6 days,NVDA
18,134,669,698,16.180434551239014,14.728667259216309,-194.53681713104245,-0.08972362809078793,2015-08-28,2015-10-09,42 days,TSLA
19,682,673,755,0.5654722370803357,0.8335000276565552,182.7949531729817,0.47398930133176687,2015-09-03,2015-12-31,119 days,NVDA
20,11,699,755,154.5088962249756,162.0800018310547,83.28216166687011,0.049001098260743836,2015-10-12,2015-12-31,80 days,COST
21,34,707,724,2.1073499042987827,1.9900000095367432,-3.989896421909343,-0.055686003792088545,2015-10-22,2015-11-16,25 days,AMD
22,8,711,755,104.2636515312195,106.0,13.890787750244044,0.016653440036680456,2015-10-28,2015-12-31,64 days,META
23,34,725,755,2.0170349904298783,2.9700000286102295,32.40081129813194,0.47245835729267727,2015-11-17,2015-12-31,44 days,AMD
