,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Ticker
0,60,506,547,129.34111438751222,120.9800033569336,-501.6666618347176,-0.06464387654437809,2021-01-05,2021-03-05,59 days,AAPL
1,29,506,547,242.0642712249756,208.68666076660156,-967.9507032928475,-0.13788738953281032,2021-01-05,2021-03-05,59 days,TSLA
2,11,506,549,523.3754127502442,507.30999755859375,-176.71956710815505,-0.0306957774482175,2021-01-05,2021-03-09,63 days,NFLX
3,1446,536,542,14.78055159187317,13.7524995803833,-1486.563208614351,-0.06955437387432317,2021-02-18,2021-02-26,8 days,NVDA
4,26,550,594,234.250351020813,200.8300018310547,-868.9290789337165,-0.14266936653080597,2021-03-10,2021-05-12,63 days,TSLA
5,20,551,595,249.64069928741458,223.0,-532.8139857482915,-0.10671616993326394,2021-03-11,2021-05-13,63 days,BA
6,1566,552,561,12.692518499851227,12.499500274658203,-302.2665406522751,-0.015207243952040428,2021-03-12,2021-03-25,13 days,NVDA
7,58,554,557,126.13994693756105,119.9000015258789,-361.9168338775643,-0.049468432191198675,2021-03-16,2021-03-19,3 days,AAPL
8,56,559,561,123.76165683746339,119.54000091552734,-236.41273162841867,-0.034111178129106356,2021-03-23,2021-03-25,2 days,AAPL
9,7,559,709,294.1760188751221,320.29998779296875,182.86778242492647,0.08880386993385847,2021-03-23,2021-10-25,216 days,META
10,1519,564,756,12.886947007656099,29.673999786376953,25499.53317087698,1.3026400099843443,2021-03-30,2021-12-31,276 days,NVDA
11,53,568,595,126.94275,124.58000183105469,-125.22565295410176,-0.01861270666458159,2021-04-06,2021-05-13,37 days,AAPL
12,40,574,593,170.79770283508302,156.81399536132812,-559.3482989501956,-0.08187292476209196,2021-04-14,2021-05-11,27 days,AMZN
13,8,576,756,370.9939622497559,563.4099731445312,1539.3280871582028,0.5186499794442463,2021-04-16,2021-12-31,259 days,COST
14,32,578,595,117.36935908126831,110.16000366210938,-230.69937341308605,-0.061424510413889855,2021-04-20,2021-05-13,23 days,SBUX
15,52,597,599,127.2638696937561,123.16000366210938,-213.40103364563004,-0.03224690590913315,2021-05-17,2021-05-19,2 days,AAPL
16,50,601,602,128.2673696937561,126.01000213623047,-112.86837787628201,-0.01759892296002641,2021-05-21,2021-05-24,3 days,AAPL
17,35,623,650,175.86337500000002,167.65499877929688,-287.29316772461004,-0.046674733842126837,2021-06-23,2021-08-02,40 days,AMZN
18,137,629,639,94.36914091873169,87.31999969482422,-965.7323476753232,-0.07469752458569068,2021-07-01,2021-07-16,15 days,AMD
19,46,629,756,137.07810612487793,178.08999633789062,1886.5469497985837,0.2991862914683905,2021-07-01,2021-12-31,183 days,AAPL
20,10,632,643,546.1448302001953,510.2099914550781,-359.3483874511719,-0.06579726980468692,2021-07-07,2021-07-22,15 days,NFLX
21,29,637,641,120.35979244995117,115.62999725341797,-137.16406069946288,-0.03929713652921074,2021-07-14,2021-07-20,6 days,SBUX
22,28,643,664,119.75768632507325,113.9800033569336,-161.77512310791042,-0.048244777812896045,2021-07-22,2021-08-20,29 days,SBUX
23,117,649,756,101.95559846878052,146.16000366210938,5171.915407619475,0.4335652564176211,2021-07-30,2021-12-31,154 days,AMD
24,9,667,756,552.0855330505372,610.010009765625,521.3202904357906,0.10491938884003593,2021-08-25,2021-12-31,128 days,NFLX
25,34,672,685,175.43187734985352,168.75,-227.18382989501976,-0.03808815963662204,2021-09-01,2021-09-21,20 days,AMZN
26,19,701,756,271.1022256164551,357.8133239746094,1647.5108688049315,0.3198465013003242,2021-10-13,2021-12-31,79 days,TSLA
27,6,725,733,345.0333915252686,336.8900146484375,-48.86026126098659,-0.023601706608256556,2021-11-16,2021-11-29,13 days,META
28,32,727,738,178.94161614990236,169.64999389648438,-297.3319121093755,-0.05192544056176529,2021-11-18,2021-12-06,18 days,AMZN
