,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Ticker
0,29.0,503.0,691.0,63.682109081268315,85.94999694824219,645.7687481422423,0.34967258761101294,2019-01-03,2019-10-02,272 days,SBUX
1,11.0,522.0,589.0,388.5150636749268,357.7699890136719,-338.19582127380426,-0.07913483294686241,2019-01-31,2019-05-08,97 days,BA
2,13.0,550.0,753.0,235.06987500000002,295.0,779.0916249999997,0.25494600275769064,2019-03-13,2019-12-31,293 days,COST
3,12.0,554.0,607.0,367.6823938751221,345.0,-272.1887265014652,-0.06169018221423417,2019-03-19,2019-06-04,77 days,NFLX
4,80.0,557.0,559.0,49.00592158126831,47.915000915527344,-87.27365325927735,-0.022260996845694492,2019-03-22,2019-03-26,4 days,AAPL
5,79.0,565.0,593.0,48.48159375,46.602500915527344,-148.44833392334,-0.038758891552995944,2019-04-03,2019-05-14,41 days,AAPL
6,18.0,576.0,691.0,179.42580306243897,174.83999633789062,-82.54452104187027,-0.025558234358034393,2019-04-18,2019-10-02,167 days,META
7,105.0,612.0,617.0,33.547005306243896,29.760000228881836,-397.63553312301633,-0.11288653168267182,2019-06-11,2019-06-18,7 days,AMD
8,76.0,612.0,753.0,48.885502653121954,72.48249816894531,1793.3716592025753,0.4826992510082413,2019-06-11,2019-12-31,203 days,AAPL
9,92.0,633.0,648.0,34.02868484687805,30.5,-324.63900591278065,-0.1036973618803193,2019-07-11,2019-08-01,21 days,AMD
10,2699.0,642.0,648.0,4.4505224425792695,4.228499889373779,-599.2388711016182,-0.049886851728090265,2019-07-24,2019-08-01,8 days,NVDA
11,2668.0,661.0,667.0,4.278923938751221,4.014500141143799,-705.4826920166012,-0.061796797838054696,2019-08-20,2019-08-28,8 days,NVDA
12,2293.0,677.0,753.0,4.671292710542679,5.772500038146973,2525.068402196645,0.23573931154409777,2019-09-12,2019-12-31,110 days,NVDA
13,3.0,709.0,753.0,21.91242644405365,27.0,15.262720667839048,0.2321775531767709,2019-10-28,2019-12-31,64 days,TSLA
14,76.0,717.0,753.0,36.647820459365846,45.06999969482422,640.0856218948363,0.2298139188058037,2019-11-07,2019-12-31,54 days,AMD
15,16.0,726.0,753.0,199.2750318374634,204.0,75.5994906005858,0.023710788647071768,2019-11-20,2019-12-31,41 days,META
