,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Ticker
0,47,505,514,2.7796949808597566,2.0799999237060547,-32.88566768622399,-0.2517164875900474,2016-01-05,2016-01-19,14 days,AMD
1,44,505,528,58.99576591873169,53.09000015258789,-259.85369371032726,-0.10010490878750788,2016-01-05,2016-02-08,34 days,SBUX
2,1954,505,529,0.8273857744038106,0.6230000257492065,-399.36975287109624,-0.24702593998776234,2016-01-05,2016-02-09,35 days,NVDA
3,73,509,526,30.731184551239014,26.25,-327.12647224044804,-0.14581880316938,2016-01-11,2016-02-04,24 days,AMZN
4,45,519,520,2.1474901052713395,2.0799999237060547,-3.0370581704378186,-0.03142747032902271,2016-01-26,2016-01-27,1 days,AMD
5,44,521,522,2.167560086131096,2.0899999141693115,-3.4126475663185154,-0.03578224772547023,2016-01-28,2016-01-29,1 days,AMD
6,21,522,529,109.37146285629274,97.13999938964844,-256.8607327995303,-0.11183413979490864,2016-01-29,2016-02-09,11 days,META
7,42,523,525,2.177595076560974,2.0399999618530273,-5.778994817733767,-0.06318673117375317,2016-02-01,2016-02-03,2 days,AMD
8,1572,537,755,0.7747020148336888,2.783750057220459,3158.2235226320026,2.593317177338267,2016-02-22,2016-12-30,312 days,NVDA
9,40,538,550,58.65457576560974,57.5099983215332,-45.78309776306156,-0.019513864504798417,2016-02-23,2016-03-10,16 days,SBUX
10,39,543,755,2.167560086131096,11.699999809265137,371.7651492022276,4.397774153586952,2016-03-01,2016-12-30,304 days,AMD
11,66,544,557,29.18930586719513,27.445499420166016,-115.0912255039216,-0.05974127836280341,2016-03-02,2016-03-21,19 days,AMZN
12,236,558,560,15.869349130153656,14.385333061218262,-350.22779226875315,-0.09351461466781819,2016-03-22,2016-03-24,2 days,TSLA
13,203,566,589,16.666127800941467,15.230667114257812,-291.3985193967819,-0.08613042596508624,2016-04-04,2016-05-05,31 days,TSLA
14,104,574,576,28.00266818904877,27.22249984741211,-81.13750753021264,-0.02786050016268693,2016-04-14,2016-04-18,4 days,AAPL
15,58,574,578,110.39503714370728,94.33999633789062,-931.1923667373662,-0.14543263194809142,2016-04-14,2016-04-20,6 days,NFLX
16,57,577,755,31.968499852180482,38.32350158691406,362.2350988798141,0.19878948853147782,2016-04-19,2016-12-30,255 days,AMZN
17,17,592,723,120.03867275619507,119.12999725341797,-15.447483547210709,-0.007569856296417599,2016-05-10,2016-11-14,188 days,META
18,16,617,676,156.24494693756105,155.19000244140625,-16.879111938476854,-0.00675186312794096,2016-06-15,2016-09-08,85 days,COST
19,202,650,670,15.34485286474228,14.407333374023438,-189.37893712520636,-0.06109667515111683,2016-08-02,2016-08-30,28 days,TSLA
20,107,650,755,26.605294515609742,29.162500381469727,273.6210276470183,0.09611642766666728,2016-08-02,2016-12-30,150 days,AAPL
21,56,668,686,97.67065683746338,95.54000091552734,-119.31673162841821,-0.02181469840508732,2016-08-26,2016-09-22,27 days,NFLX
22,51,696,755,105.33739622497559,126.23999786376953,1066.0326835784908,0.19843476664404114,2016-10-06,2016-12-30,85 days,NFLX
23,11,714,755,143.45032193756106,156.49000549316406,143.43651911163306,0.09090034361358024,2016-11-01,2016-12-30,59 days,BA
24,40,734,755,58.39366362190247,56.279998779296875,-84.54659370422377,-0.036196818481736726,2016-11-30,2016-12-30,30 days,SBUX
25,15,744,755,160.61017806243896,160.88999938964844,4.197319908142134,0.0017422390696852919,2016-12-14,2016-12-30,16 days,COST
26,196,753,755,14.82035755634308,14.420000076293945,-78.47006608963032,-0.027014023010381583,2016-12-28,2016-12-30,2 days,TSLA
