,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Ticker
0,16,504,587,296.9757924499512,322.9700012207031,415.9073403320308,0.08752972273028847,2018-01-03,2018-05-03,120 days,BA
1,1567,504,699,5.120358711719513,6.0542497634887695,1463.407278122425,0.18238781779717117,2018-01-03,2018-10-11,281 days,NVDA
2,47,504,709,59.62295341873169,85.16699981689453,1200.5701807136536,0.428426385032743,2018-01-03,2018-10-25,295 days,AMZN
3,9,504,728,189.48087734985353,220.55999755859375,279.712081878662,0.16402246307608337,2018-01-03,2018-11-21,322 days,COST
4,28,507,661,210.75507428741457,319.010009765625,3031.138193389892,0.5136528069097834,2018-01-08,2018-08-17,221 days,NFLX
5,31,514,524,61.6450053062439,56.279998779296875,-166.31520233535787,-0.0870306766995057,2018-01-18,2018-02-01,14 days,SBUX
6,80,528,529,40.91520283126831,40.0724983215332,-67.41636077880855,-0.02059636642180085,2018-02-07,2018-02-08,1 days,AAPL
7,79,532,579,40.62920548439026,41.70750045776367,85.1853028964994,0.026539898098368875,2018-02-13,2018-04-23,69 days,AAPL
8,30,551,560,59.908950765609745,56.959999084472656,-88.46855043411267,-0.04922389131258009,2018-03-13,2018-03-26,13 days,SBUX
9,70,592,722,47.099273878097534,47.907501220703125,56.57591398239134,0.017160080741317696,2018-05-10,2018-11-13,187 days,AAPL
10,18,594,646,188.36699173736574,179.8699951171875,-152.94593916320827,-0.04510873450708042,2018-05-14,2018-07-27,74 days,META
11,14,600,620,365.274,346.0,-269.836,-0.05276586890936663,2018-05-22,2018-06-20,29 days,BA
12,141,608,712,14.811660229682923,16.3799991607666,221.13578928279864,0.10588542450769212,2018-06-04,2018-10-30,148 days,AMD
13,204,619,623,24.42920386219025,22.007999420166016,-493.92570617294365,-0.0991110662337874,2018-06-19,2018-06-25,6 days,TSLA
14,182,654,660,24.692121903419498,22.660667419433594,-369.7247160854345,-0.08227136136504243,2018-08-08,2018-08-16,8 days,TSLA
15,24,667,699,368.43501887512207,324.94000244140625,-1043.8803944091796,-0.11805342653505502,2018-08-27,2018-10-11,45 days,NFLX
16,29,687,753,57.17942954063416,63.77000045776367,191.12655659675585,0.11526122191278532,2018-09-25,2018-12-31,97 days,SBUX
17,13,693,708,390.2611438751221,361.5899963378906,-372.7249179840094,-0.07346656972441468,2018-10-03,2018-10-24,21 days,BA
18,48,710,711,82.76817806625367,83.0,11.12745281982393,0.002800858242412607,2018-10-26,2018-10-29,3 days,AMZN
19,176,720,750,23.348099744796755,20.0,-589.2655550842289,-0.14339923939818255,2018-11-09,2018-12-26,47 days,TSLA
