datetime,root,expiration,strike,right,bid_size,closebid,ask_size,closeask,date,midpoint,weighted_midpoint,spot,valuation_date,moneyness,log_moneyness,t,dte,f,div_schedule,fwd_moneyness,vol
2025-04-08,AAPL,2025-09-19,230.0,C,3,2.94,6,3.1,20250408,3.02,3.0466666666666664,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.4490075290896646,164.0,175.4078712057973,<Schedule: 1 dividends>,0.7626429182860752,0.35645561785658875
2025-04-08,AAPL,2025-12-19,225.0,P,2,52.85,3,56.55,20250408,54.7,55.07,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,0.6981519507186859,255.0,176.97452930472042,<Schedule: 2 dividends>,0.7865534635765352,0.3299284699218295
2025-04-08,AAPL,2025-10-17,230.0,C,3,3.5,17,3.65,20250408,3.575,3.6275,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.5256673511293635,192.0,175.71224913199114,<Schedule: 2 dividends>,0.7639663005738745,0.34604505359522303
2025-04-08,AAPL,2025-12-19,225.0,C,7,5.6,18,6.05,20250408,5.824999999999999,5.9239999999999995,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,0.6981519507186859,255.0,176.97452930472042,<Schedule: 2 dividends>,0.7865534635765352,0.33336752375665374
2025-04-08,AAPL,2025-10-17,230.0,P,14,57.55,3,59.75,20250408,58.65,57.938235294117646,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.5256673511293635,192.0,175.71224913199114,<Schedule: 2 dividends>,0.7639663005738745,0.3398413683328275
2025-04-08,AAPL,2026-01-16,225.0,C,3,6.45,10,6.9,20250408,6.675000000000001,6.796153846153847,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,0.7748117727583846,283.0,177.28261263781664,<Schedule: 3 dividends>,0.7879227228347406,0.33282060013398956
2025-04-08,AAPL,2026-01-16,225.0,P,7,54.0,3,57.05,20250408,55.525,54.91499999999999,172.4199981689453,2025-04-08,1.3049530355494743,0.266167052042376,0.7748117727583846,283.0,177.28261263781664,<Schedule: 3 dividends>,0.7879227228347406,0.3395833211642619
2025-04-08,AAPL,2026-12-18,220.0,P,2,53.4,21,56.85,20250408,55.125,56.55,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,1.6947296372347707,619.0,183.3923482393081,<Schedule: 6 dividends>,0.8336015829059459,0.32436568947321587
2025-04-08,AAPL,2026-12-18,220.0,C,3,16.35,1,17.1,20250408,16.725,16.5375,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,1.6947296372347707,619.0,183.3923482393081,<Schedule: 6 dividends>,0.8336015829059459,0.3149798662719823
2025-04-08,AAPL,2026-03-20,230.0,C,28,6.95,1,7.4,20250408,7.175000000000001,6.965517241379311,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.947296372347707,346.0,178.556173974649,<Schedule: 3 dividends>,0.7763311911941261,0.32031905324877474
2025-04-08,AAPL,2026-03-20,230.0,P,7,58.45,2,62.0,20250408,60.225,59.238888888888894,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.947296372347707,346.0,178.556173974649,<Schedule: 3 dividends>,0.7763311911941261,0.3291408351681163
2025-04-08,AAPL,2027-01-15,220.0,P,2,53.75,2,57.7,20250408,55.725,55.725,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,1.7713894592744694,647.0,183.71558058471942,<Schedule: 7 dividends>,0.8350708208396337,0.327688256048477
2025-04-08,AAPL,2025-05-16,235.0,C,15,0.38,14,0.42,20250408,0.4,0.3993103448275862,172.4199981689453,2025-04-08,1.3629509482405622,0.309652163982115,0.10403832991101986,38.0,173.16604657203894,<Schedule: 0 dividends>,0.73687679392357,0.5090386075973015
2025-04-08,AAPL,2027-01-15,220.0,C,3,17.05,1,17.8,20250408,17.425,17.2375,172.4199981689453,2025-04-08,1.2759540792039306,0.24369419619031757,1.7713894592744694,647.0,183.71558058471942,<Schedule: 7 dividends>,0.8350708208396337,0.31394624688342554
2025-04-08,AAPL,2025-05-16,235.0,P,1,60.3,4,62.7,20250408,61.5,62.220000000000006,172.4199981689453,2025-04-08,1.3629509482405622,0.309652163982115,0.10403832991101986,38.0,173.16604657203894,<Schedule: 0 dividends>,0.73687679392357,0.4173276873183849
2025-04-08,AAPL,2025-05-09,230.0,C,30,0.38,31,0.39,20250408,0.385,0.3850819672131148,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.08487337440109514,31.0,173.02837446208682,<Schedule: 0 dividends>,0.7522972802699427,0.5288261355107916
2025-04-08,AAPL,2026-06-18,230.0,P,2,59.05,2,63.0,20250408,61.025,61.025,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,1.1937029431895962,436.0,180.13248646072591,<Schedule: 4 dividends>,0.7831847237422865,0.3237059310159585
2025-04-08,AAPL,2025-05-09,230.0,P,2,55.25,3,58.55,20250408,56.9,57.23,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.08487337440109514,31.0,173.02837446208682,<Schedule: 0 dividends>,0.7522972802699427,0.4360710100156516
2025-04-08,AAPL,2026-06-18,230.0,C,2,9.35,2,9.9,20250408,9.625,9.625,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,1.1937029431895962,436.0,180.13248646072591,<Schedule: 4 dividends>,0.7831847237422865,0.31834081644149675
2025-04-08,AAPL,2025-05-23,230.0,P,3,55.0,15,59.9,20250408,57.45,59.08333333333333,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.12320328542094455,45.0,173.30382822246338,<Schedule: 0 dividends>,0.7534949053150581,0.3897931558375625
